Folder_Number,Image_Links,Headline,Article_Text,Published_Date,Publishing_Agency_Name,Author_Names,Keywords_Tags,Related_Article_Links,Sentiment,Tone,Narrative
Offline,"['https://drive.google.com/file/d/1Zerr8hqUMT61vJ5FWy5vukvIn14wj513/view?usp=drivesdk', 'https://drive.google.com/file/d/1Qzct2cK7d90dH1tE5FOT626hlZKz6kDR/view?usp=drivesdk', 'https://drive.google.com/file/d/1c3jfJ1X5B1tGoD2PeteKz0E5TEA_X8ja/view?usp=drivesdk']",Not Found,Not Found,Not Found,Not Found,['Not Found'],['Not Found'],['Not Found'],Not Found,Not Found,Not Found
567,"['https://drive.google.com/file/d/1sVaUhdEGQxt2EkioPBZRRRJCdSbBradE/view?usp=drivesdk', 'https://drive.google.com/file/d/1ooEA2f-sP7CU6RoKjSfDC5Y4ACU_t2Ah/view?usp=drivesdk', 'https://drive.google.com/file/d/1K7jTZN7pgW0O5zUSI5oUQgN1bxvfTwKD/view?usp=drivesdk', 'https://drive.google.com/file/d/1XbPaEeQVV5FmLxqqxB_PVs69t9pAv6lj/view?usp=drivesdk', 'https://drive.google.com/file/d/13dojG4THjVX9r5r8lSGWMtv0qpd-_goF/view?usp=drivesdk', 'https://drive.google.com/file/d/1hBdhtHJdH3RMB8RcBi0aajjHqHLVIiXf/view?usp=drivesdk']","Borrell: At this moment, the ""softening"" of Russia and Ukraine would be wrong","Parallelly, it is necessary to develop European defense-industry capabilities, he writes. According to the words of the head of European diplomacy, the industry is currently far from the effectiveness of the problems it faces.
Russia has repeatedly pointed out that the West’s military aid to Ukraine does not change anything on the battlefield and only prolongs the conflict. Minister of Foreign Affairs Sergey Lavrov pointed out that every cargo that contains weapons of the Armed Forces of Ukraine has become a legitimate target for Air and Space Forces. As the press secretary of the president Dmitry Peskov noted, the supplying of weapons from the West will not contribute to the success of the Russian-Ukrainian negotiations and has a negative impact.",30-01-2024,Informer,['informers.rs'],"['Russia', 'Ukraine', 'EU', 'Borrell', 'Military Aid']","['Moscow is on the verge! It is threatening all; Alarming warning to Germany, total escalation is imminent!', '(VIDEO) Major strike against Russia, powerful bombers! Ukrainians are directly targeting Moscow at a heavy cost!']",Negative,Warning,The article conveys a critical stance on the inadequacy of Western military aid to Ukraine and highlights the potential negative implications of diplomatic normalization efforts involving Russia.
157,"['https://drive.google.com/file/d/1tgw7SfblDnbVbEY2o06jL6YVIxLVbivl/view?usp=drivesdk', 'https://drive.google.com/file/d/1qM_-0GfDCCd30i0EuExhhsgXYz0ExaqR/view?usp=drivesdk', 'https://drive.google.com/file/d/1_g9JKdCCNaDDvFJM33BSZU1jhjPz9Lxv/view?usp=drivesdk', 'https://drive.google.com/file/d/1q-6n9jpICW8c8fug7PfYwEL6PvbRy5Qp/view?usp=drivesdk', 'https://drive.google.com/file/d/104u8Rlir0Pw2AKu39QJqW5WBt7hPoOT4/view?usp=drivesdk', 'https://drive.google.com/file/d/1sigcV4cYh8mvpV46g-GOiqPUJnzRLe3M/view?usp=drivesdk', 'https://drive.google.com/file/d/1xlMc2wy8mM2leKN_4KZ4zpO_Yk5hnh7X/view?usp=drivesdk']",Is it long COVID or long vax? Does the government want to know?,America's health agencies need to snap into action to help study this problem so we can better understand and treat these conditions.,03-10-2023,The Hill,[],[],[],Neutral,Inquisitive,The article raises concerns about the need for government action in studying long COVID and vaccine-related issues.
557,"['https://drive.google.com/file/d/1bR5Q_cBQenBBifGUDDofmobXDxwsHmLq/view?usp=drivesdk', 'https://drive.google.com/file/d/1svbRIBcRTYBKRRlFVwdxF_IkLjujE8_e/view?usp=drivesdk', 'https://drive.google.com/file/d/1ImasWicObu22rjTNvoomvXfHpM3qyfYH/view?usp=drivesdk', 'https://drive.google.com/file/d/1MfpeO9ZO-NYUWZfSexux7j52Ls0SnZUY/view?usp=drivesdk', 'https://drive.google.com/file/d/1TMGy2gh78XYC_ajTYZ99bzfJ-W7UsL-P/view?usp=drivesdk', 'https://drive.google.com/file/d/16u7Ojvk8NKPfNMK_Ddl_SwV3tYgq1J37/view?usp=drivesdk']",Correction: EU does not ban white appliances,"In practice, this means a gradual prohibition of placing on the market appliances containing super powerful refrigerants and stopping servicing such devices until their complete ban in 2050.

Although it was stated in the published text that the decision is made, this proposal needs to be formally approved by both institutions before it can be published on the EU's official list and come into force.

Mondo will point out in the relevant text that refrigerators and air conditioners will be banned, but this is not accurate, even though it is a complete misunderstanding of the given statement.",09-10-2023,MONDO,[],"['EU', 'ban', 'appliances', 'refrigerants', 'environment']",[],Neutral,Informative,"The article clarifies the recent EU decisions regarding the prohibition of certain household appliances, emphasizing that there are misunderstandings about the regulations and that the ban is not as comprehensive as reported."
797,"['https://drive.google.com/file/d/1LP2UlzzP9PuZ5zfL-qIPFFl3Pti0qYQr/view?usp=drivesdk', 'https://drive.google.com/file/d/1Ivi20ZGv7AjZ8_n2h2HqVSuRCbuvXwzs/view?usp=drivesdk', 'https://drive.google.com/file/d/1ocsiczgRP1t3f1PJM2-yL8KOTTU_o8m-/view?usp=drivesdk']","Cardiologist Dr. Borović: ""The weakest is to drink coffee with milk.""","""People who enjoy coffee, enjoy caffeine, which is a primitive plant-based substance and it falls under our assessments. How harmful and unused caffeine is, it is clear that we thought that on the list of 'difficulties' heroin, nicotine, cocaine, and alcohol come in fifth place,"" explains Dr. Borović.

Coffee can also promote osteoporosis, so it is necessary to consider the recommended quantities.

""Caffeine remains in the body from 68 to 72 hours and prevents the production of calcium and magnesium from food. Bones are constantly rebuilt, as they have two types of cells, one breaks down, the other creates new structures of tissues in the bones. Thus, bones are particularly sensitive to the amount of calcium from food, as coffee directly affects absorption. Women begin to feel the effects in menopause, as calcium is lost even if they are minor and if they are somewhat worse. I believe that coffee contributes to statistics, which says that indeed one in three women and every seventh man suffers from osteoporosis.""",17-04-2024,sensa,['Dr. Borović'],"['Coffee', 'Health', 'Caffeine', 'Osteoporosis', 'Nutrition']",[],Neutral,Informative,"The article discusses health warnings associated with drinking coffee, particularly when mixed with milk, while emphasizing its potential links to osteoporosis and the importance of adequate calcium intake."
667,"['https://drive.google.com/file/d/1_YnfISPjrla1Q1q2VvuYybBj6kPqgpIt/view?usp=drivesdk', 'https://drive.google.com/file/d/1F4vv150mEtOMAnpODA22LHHti6dQ9Vld/view?usp=drivesdk', 'https://drive.google.com/file/d/1e4MJNS0yicMG8QrMP0yQaM8N85fL1j1q/view?usp=drivesdk', 'https://drive.google.com/file/d/1jQwKJ1hGt8F9I1S6fmNX7tIP4q0WNgrM/view?usp=drivesdk', 'https://drive.google.com/file/d/1ZnLNWbsZrRB2ryva7Lv6HKDw1K4g1yVr/view?usp=drivesdk', 'https://drive.google.com/file/d/1CERrc8jBT4JzvBPw2a1oYTUNAOKPJoOh/view?usp=drivesdk']","Minister of Agriculture and Fisheries: ""The first objective is not to lose a cent from the CAP""","The PDR 2020 ""still has about 670 million euros to execute,"" says José Manuel Fernandes. ""The best way to defend the next funds [of the CAP] is to use them well.""",22-04-2024,Público,"['Teresa Silveira', 'Paulo Pimenta']","['Agriculture', 'Pensions', 'EU', 'CAP']",[],Neutral,Informational,"The article discusses the importance of effectively utilizing European agricultural funds, emphasizing a cautious approach not to lose any financial support."
464,"['https://drive.google.com/file/d/1FwQ3AYMhdmTkh0nNWQg3kRRR19nkq7X0/view?usp=drivesdk', 'https://drive.google.com/file/d/1rDkDfIx6rrvjhGb2L3_RwxAX81f9jDsd/view?usp=drivesdk', 'https://drive.google.com/file/d/1EpVjTDQY3gj_iUBtV9sgV5T4pQ6ph0ha/view?usp=drivesdk', 'https://drive.google.com/file/d/1wKa2vlkQfo7ADVg2DJaxD5rtODdhQ-aY/view?usp=drivesdk', 'https://drive.google.com/file/d/1njcYXYtCzQoTcvfwO5rTI8DpvkFSM3i9/view?usp=drivesdk']",The Government reveals that 30% of those who died from COVID were vaccinated,"7.5 million people with at least one dose of the injection contracted coronavirus in Spain. According to the Ministry of Health, 31,967 deceased individuals were fully vaccinated and 3,319 were incomplete. The data, obtained from the association Liberum of the General Health Public Directorate, reflects that, since the beginning of the pandemic until June 28, 2023, the National Epidemiological Vigilance Network recorded almost 14 million cases diagnosed with COVID-19 (specifically, 13,914,811). The vaccination status findings show: unvaccinated (5,595,653 cases), incompletely vaccinated (644,923 cases), fully vaccinated (6,900,233 cases), with 774,002 cases not reporting their vaccination status.",20-04-2024,THE OBJECTIVE,"['Lidia Ramírez', 'Fran Serrato']","['COVID-19', 'vaccination', 'Spain', 'health', 'statistics']","['Sanidad announces the creation of the Observatory against Healthcare Fraud and Corruption', 'Sanidad launches its request for 473 vacant positions for the MIR medical exam,']",Neutral,Informative,"The article discusses the vaccination status of individuals who succumbed to COVID-19 in Spain, presenting data that suggests a significant percentage of the deceased were vaccinated. It aims to provide clarity and transparency regarding vaccination effectiveness and public health statistics."
274,"['https://drive.google.com/file/d/1xK2yUaXLGCUV8N4JLPWBc6bQtDXoITiE/view?usp=drivesdk', 'https://drive.google.com/file/d/1H9xS1e1tYWMOR1a3P5aaM0xIJwV82QQf/view?usp=drivesdk']",Suggest suspending vaccines,"A volunteer extracts the AstraZeneca vaccine while the public is vaccinated against COVID-19 in Mezaquita Fazl of Southfields, where a clinic was held on June 8, 2021. (Dan Kitwood/Getty Images)",08-06-2021,The Epoch Times,[],[],[],Negative,Cautionary,"The article expresses concerns regarding the safety of vaccines, suggesting there may be reasons to suspend their use amid contamination fears."
8,"['https://drive.google.com/file/d/1r2p2ax8fBvj4yQwZbjtElKTwOAXYAYYW/view?usp=drivesdk', 'https://drive.google.com/file/d/1HvK2N2--S12o4otGB9Y9bksVULoPclrO/view?usp=drivesdk', 'https://drive.google.com/file/d/1LUliI4SnPNMzP8Ly_Dh726Co2lAMlxbW/view?usp=drivesdk', 'https://drive.google.com/file/d/1o7X_JDjJ0LUEIcYBHzdZnNlvz_QeQrUJ/view?usp=drivesdk', 'https://drive.google.com/file/d/1SRFu7Cl5sGoYDPcX79FoF2yoWHcep_ML/view?usp=drivesdk', 'https://drive.google.com/file/d/1CQqVmorVhKEiL1pSUwOcbiixN1u6XRHM/view?usp=drivesdk', 'https://drive.google.com/file/d/1IJ_ai7mNGjnnjwqFis1GbwG3PIyif0Tg/view?usp=drivesdk', 'https://drive.google.com/file/d/1T6iPZoM5WqZzjtS9QUDRxMjdqzwPwUo9/view?usp=drivesdk']",Sánchez gave Morocco 400 police cars and 90 cameras while skimping on resources for the Civil Guard,"In this delivery, the Government gifted the Moroccan Police material valued at 26 million euros. Jucil has been warning for years that the vehicles and materials of the Civil Guard are old and obsolete.",24-05-2024,okdiario,[],"['Morocco', 'Police', 'Government', 'Civil Guard', 'Sánchez']",[],Negative,Critical,"The article highlights the perceived neglect of the Spanish Civil Guard in favor of providing substantial resources to Morocco, raising concerns over priorities in governmental spending."
470,"['https://drive.google.com/file/d/18GN9knoz7lDmscBDdBFB0yNit0OYCgwt/view?usp=drivesdk', 'https://drive.google.com/file/d/1fHVkEyAFvFIXMrkjqlWI_zM2K4u-Bh0D/view?usp=drivesdk', 'https://drive.google.com/file/d/1HlOOO7RfApAfsf6r5_Xh_RSwyRl78FiB/view?usp=drivesdk', 'https://drive.google.com/file/d/1EDvPs5Okgos_69SDz5WbEeJcSN90EEF1/view?usp=drivesdk', 'https://drive.google.com/file/d/1-DJ3Y9SYvcEakU1FAe2GqQ-WlNmp7FuK/view?usp=drivesdk']","Alejandro Fernández: ""Exigirem a Illa fets i no paraules del trencament amb els independentistes""","The candidate of the PP, Alejandro Fernández, has conditioned his support for a possible investiture of Salvador Illa on whether the socialist party proves its commitment to the independence formations. In an interview at ""Aquí Catalunya,"" he assured that it is ""not easy"" for them to support the candidate Illa if they require him to provide concrete actions and not mere words with the independent parties in Madrid.  

Fernández has also rejected to echo how Barcelona's City Council is potentially casting its vote for Jaume Collboni, as he believes the matter ""incomplete regarding previous government agreements,"" stating that if they give votes to PSC, it will hinder further cooperation between these formations. He believes that recent support from the PSOE will jeopardize agreements made with ERC. According to Alejandro Fernández, both parties are currently in a difficult situation following the general elections, where the People's Party aims to surpass the number of votes achieved by these two parties. He stated: ""We will need more votes than Junts and ERC, which could potentially revive Sánchez and make him feel resurrected.""  

Additionally, Fernández considers surveys indicate that all signs point to a potential second term for the PSOE in the upcoming elections on May 12.  

The PP also emphasizes the desire to improve the autonomous financing system, which they say makes autonomy challenging when aiming to establish equal opportunities. He maintains that failing to initiate a necessary process of reform would pose more difficulties in funding. They argue that addressing this issue should be a priority if they want to improve financing effectiveness overall.",18-04-2024,Cadena SER,"['Pablo Tallón', 'Aquí Catalunya']","['Alejandro Fernández', 'investiture', 'independentists', 'PSOE', 'ERC']","['""The importance of the upcoming elections in Catalonia""', '""Recent comments by PSOE representatives""']",Neutral,Descriptive,The article emphasizes Alejandro Fernández's insistence on concrete actions rather than words from Salvador Illa and the implications of recent political agreements in Catalonia.
