Folder_Number,Image_Link,Ad_Name,Product,Company,Ad_Description,Ad_Placement
P07,https://drive.google.com/file/d/1MQRku2sXrvWr6549y-QLBxGoRgLBYEWM/view?usp=drivesdk,Radisson Hotels,Hotel Booking,Radisson Hotels,Get a discount for beach and mountain stays in Gran Canaria.,Top section before the headline
P07,https://drive.google.com/file/d/1MQRku2sXrvWr6549y-QLBxGoRgLBYEWM/view?usp=drivesdk,Top Crypto Exchange,Crypto Trading,Bitcoin.de,Buy Bitcoin + Ethereum securely.,Sidebar
P07,https://drive.google.com/file/d/1uZkWqX0FBD9qXNZkX5v_QyZM-s3sFNC-/view?usp=drivesdk,Radisson Hotels,Hotel Accommodation,Radisson Hotels,Stay and enjoy outdoor activities in Gran Canaria.,Top right sidebar
P07,https://drive.google.com/file/d/1uZkWqX0FBD9qXNZkX5v_QyZM-s3sFNC-/view?usp=drivesdk,Sorrolla - Barcelona,Art Exhibition,Sorrolla Expo Barcelona,"In Barcelona, the art of Sorolla blooms like a garden in its centenary.","Inline, near the bottom of the page"
P07,https://drive.google.com/file/d/15fjzRxm41X9ZXKa7i8viX7StGm-z15y7/view?usp=drivesdk,Ample Backpack,Backpack,Tepuh,A large backpack available for a price of €3.19. Get a 90% discount. We offer everything you need at the same price.,Overlay advertisement
P07,https://drive.google.com/file/d/1tWjOjAgv51CDyzl4a7vaL0qwzWT7c5N3/view?usp=drivesdk,Top Crypto Exchange,Cryptocurrency Exchange,Top Crypto Exchange,Bonus of $1000 + Free for opening an account on Top Crypto Exchange,Inline section beneath news headlines
P07,https://drive.google.com/file/d/1tWjOjAgv51CDyzl4a7vaL0qwzWT7c5N3/view?usp=drivesdk,Bitget,Crypto Trading Platform,Bitget,"Sensational offer: $1,000 bonus for account opening at Top Crypto Exchange.",Sidebar (left)
P07,https://drive.google.com/file/d/1tWjOjAgv51CDyzl4a7vaL0qwzWT7c5N3/view?usp=drivesdk,MMnews.CLUB,News Membership Service,MMnews.CLUB,Join our stock exchange club: the best stocks for 2024! Earn 800 euros in benefits.,Sidebar (left)
P07,https://drive.google.com/file/d/1tWjOjAgv51CDyzl4a7vaL0qwzWT7c5N3/view?usp=drivesdk,Badalona,Local Business,Not specified,"Open 9:30 AM - 9:00 PM, Avenida de la Comunitat Europea, 7, Badalona",Bottom section
G47,https://drive.google.com/file/d/1n_yd0WATdDej4EDjToxK7FRH4WXGLcLH/view?usp=drivesdk,Saboiteur,Support for Achgut.com,Achgut.com,"Support the voice of Wolfgang Röhl, Achgut author. If you want to hear this voice, you must act now. Achgut.com needs sponsors. Here.",middle section of the website
G47,https://drive.google.com/file/d/1n_yd0WATdDej4EDjToxK7FRH4WXGLcLH/view?usp=drivesdk,QUADIS Motorsol Volkswagen,Volkswagen,QUADIS,Volkwagen dealership advertisement,bottom section of the website
