Folder_Number,Image_Link,Ad_Name,Product,Company,Ad_Description,Ad_Placement
567,https://drive.google.com/file/d/1sVaUhdEGQxt2EkioPBZRRRJCdSbBradE/view?usp=drivesdk,Air Europa,Flight Tickets,Air Europa,Flights to Spain and Europe starting at 17 EUR. Flights to America starting at 246 EUR.,Sidebar
567,https://drive.google.com/file/d/1sVaUhdEGQxt2EkioPBZRRRJCdSbBradE/view?usp=drivesdk,Conectar o desconectar?,Business Class Tickets,Air Europa,"Choose Business Class for connectivity whether you need to browse, chat or work.",Inline
567,https://drive.google.com/file/d/1ooEA2f-sP7CU6RoKjSfDC5Y4ACU_t2Ah/view?usp=drivesdk,American Express,Credit Card,American Express,Get 800€ for your restaurant spending,Sidebar
567,https://drive.google.com/file/d/1K7jTZN7pgW0O5zUSI5oUQgN1bxvfTwKD/view?usp=drivesdk,Renault Clio E-TECH FULL HYBRID,Hybride car,Renault,Promoting the Renault Clio E-TECH full hybrid vehicle with a focus on eco-friendliness and efficiency.,Right sidebar
567,https://drive.google.com/file/d/1XbPaEeQVV5FmLxqqxB_PVs69t9pAv6lj/view?usp=drivesdk,Credit Card Offer,American Express Card,American Express,Get an exclusive credit card offer with up to €800 in restaurant benefits.,Sidebar
567,https://drive.google.com/file/d/13dojG4THjVX9r5r8lSGWMtv0qpd-_goF/view?usp=drivesdk,Sorralla - Barcelona,Art exhibition,Sorralla Expo Barcelona,An exhibition about the works of Joaquin Sorolla located in Barcelona.,Sidebar
567,https://drive.google.com/file/d/1hBdhtHJdH3RMB8RcBi0aajjHqHLVIiXf/view?usp=drivesdk,American Express,Credit Card,American Express,Get an 800€ bonus for your restaurant purchases.,Sidebar
157,https://drive.google.com/file/d/1tgw7SfblDnbVbEY2o06jL6YVIxLVbivl/view?usp=drivesdk,Simyo,Mobile plans,Simyo,5G mobile plans with 12GB data for the same price.,sidebar
157,https://drive.google.com/file/d/1tgw7SfblDnbVbEY2o06jL6YVIxLVbivl/view?usp=drivesdk,Translate,Google Ads placeholder,Google,Advertisement placeholder area on the page.,top section
157,https://drive.google.com/file/d/1qM_-0GfDCCd30i0EuExhhsgXYz0ExaqR/view?usp=drivesdk,Simyo 5G,Mobile Plans,Simyo,"Now 5G in all our plans at the same price, also in prepaid.",sidebar
157,https://drive.google.com/file/d/1_g9JKdCCNaDDvFJM33BSZU1jhjPz9Lxv/view?usp=drivesdk,Simyo 5G,Mobile plans,Simyo,Offers 5G mobile plans with various data options including 12GB for 7.5 euros per month.,Right sidebar
157,https://drive.google.com/file/d/1q-6n9jpICW8c8fug7PfYwEL6PvbRy5Qp/view?usp=drivesdk,Sorolla - Barcelona,Art exhibition,Sorolla Expo Barcelona,Celebrate the centenary of the master with a unique experience,pop-up ad
157,https://drive.google.com/file/d/104u8Rlir0Pw2AKu39QJqW5WBt7hPoOT4/view?usp=drivesdk,Sorolla - Barcelona,Art Expo,Sorolla Expo Barcelona,Celebrates the centenary of the master with a unique experience.,Overlay ad
157,https://drive.google.com/file/d/1sigcV4cYh8mvpV46g-GOiqPUJnzRLe3M/view?usp=drivesdk,Violet Affleck,,Guilty Eats,Sponsored content featuring Violet Affleck's appearance,sidebar
