Folder_Number,Image_Link,Ad_Name,Product,Company,Ad_Description,Ad_Placement
130,https://drive.google.com/file/d/1BVDqP4UrtQNCXG8d3H8gGbODdvnL49_I/view?usp=drivesdk,Drive Magazine,Automotive Magazine,Drive,"A quarterly magazine that provides insights into modern cars, technology, and automotive trends.","Top section, just under the headline"
130,https://drive.google.com/file/d/1BVDqP4UrtQNCXG8d3H8gGbODdvnL49_I/view?usp=drivesdk,History Magazine,History Magazine,Drive,"A magazine that explores significant historical events and figures, aimed at history enthusiasts.","Top section, just under the headline"
130,https://drive.google.com/file/d/1XGv_Q9lf2jgctQOQat-TFxLTjyjiYmpD/view?usp=drivesdk,Hyundai Black Friday,Car Promotions,Hyundai,"Yes, at Hyundai the Black Friday is now.",Left Sidebar
130,https://drive.google.com/file/d/1XGv_Q9lf2jgctQOQat-TFxLTjyjiYmpD/view?usp=drivesdk,Social Energy,Energy Savings,Social Energy,Pay up to 90% less on light. Discover how.,Bottom Section
130,https://drive.google.com/file/d/1XGv_Q9lf2jgctQOQat-TFxLTjyjiYmpD/view?usp=drivesdk,Media Hotels,Hotel Promotions,Media Hotels,Wonder Week is back! Book with up to 30% discount.,Bottom Section
130,https://drive.google.com/file/d/1Pxq5VH_YH_2aL4to4QQdGbS5CZfSALJG/view?usp=drivesdk,Social Energy,Energy Savings,Social Energy,Pay up to 90% less on electricity. Discover how.,bottom section
130,https://drive.google.com/file/d/1Pxq5VH_YH_2aL4to4QQdGbS5CZfSALJG/view?usp=drivesdk,Media Hotels,Hotel Booking,Media Hotels,Wonder Week is back! Book with up to a 30% discount.,bottom section
130,https://drive.google.com/file/d/1dP_y_RaU4fgVXv_UszbmZMhZuMZus7Zx/view?usp=drivesdk,Cabina de Reuniones Insonorizada,Soundproof Meeting Cabin,mute-labs,Soundproof meeting cabin designed for private discussions and meetings.,Inline
130,https://drive.google.com/file/d/1t21-LP9pt-CA2h_wvQPGpvoE3sViX3HJ/view?usp=drivesdk,Top News Video,News Video Content,ProNews,See the top trending news videos,bottom section
139,https://drive.google.com/file/d/1e4tYPDYANDyt927kgiIAALX4JS36DluO/view?usp=drivesdk,Drive,Car Magazine Subscription,Drive,Monthly subscription for car enthusiasts featuring the latest news and reviews.,"Top section, inline with articles"
139,https://drive.google.com/file/d/1e4tYPDYANDyt927kgiIAALX4JS36DluO/view?usp=drivesdk,History,History Magazine Subscription,History,"Looking into the past, exploring historical events and influential figures.","Top section, inline with articles"
139,https://drive.google.com/file/d/1e4tYPDYANDyt927kgiIAALX4JS36DluO/view?usp=drivesdk,E-Tech,Technology Magazine Subscription,E-Tech,Magazine covering the latest in technology advancements and reviews.,"Top section, inline with articles"
139,https://drive.google.com/file/d/16nFnJCT9Un5YGj9Af8LJvDo6mk4ccySC/view?usp=drivesdk,Hyundai Black Friday,Car,Hyundai,Special promotion timed to Black Friday.,Top section
139,https://drive.google.com/file/d/16nFnJCT9Un5YGj9Af8LJvDo6mk4ccySC/view?usp=drivesdk,Calculator,Health Calculator,Not specified,A tool to calculate how long one should fast to achieve a flat abdomen according to age.,Sidebar
139,https://drive.google.com/file/d/16nFnJCT9Un5YGj9Af8LJvDo6mk4ccySC/view?usp=drivesdk,Braun Household,Blender,Braun,Debate: Gazpacho or Salmorejo? Ad for a blender used in a cooking context.,Inline
139,https://drive.google.com/file/d/16nFnJCT9Un5YGj9Af8LJvDo6mk4ccySC/view?usp=drivesdk,Social Energy,Electricity Savings,Social Energy,Save up to 90% on electricity. Learn how.,Inline
