Folder_Number,Image_Links,Headline,Article_Text,Published_Date,Publishing_Agency_Name,Author_Names,Keywords_Tags,Related_Article_Links,Sentiment,Tone,Narrative
P07,"['https://drive.google.com/file/d/1MQRku2sXrvWr6549y-QLBxGoRgLBYEWM/view?usp=drivesdk', 'https://drive.google.com/file/d/1uZkWqX0FBD9qXNZkX5v_QyZM-s3sFNC-/view?usp=drivesdk', 'https://drive.google.com/file/d/15fjzRxm41X9ZXKa7i8viX7StGm-z15y7/view?usp=drivesdk', 'https://drive.google.com/file/d/1tWjOjAgv51CDyzl4a7vaL0qwzWT7c5N3/view?usp=drivesdk']","Dax está treballant per tornar al nivell del dia anterior al migdia, situació mixta","Després d'un inici més feble de la jornada de negociació de dijous, el Dax va pujar al nivell del dia anterior al migdia. Cap a les 12.30 hores, l'índex líder es calculava al voltant dels 18.475 punts, just per sobre del preu de tancament de dimecres. ""El...",30-10-2023,MMnews,[],"['Dax', 'Economia', 'Negociació']",[],Neutral,Informative,"The article presents a neutral report on the Dax index's performance, indicating slight fluctuations and providing context without a clear positive or negative stance."
G47,"['https://drive.google.com/file/d/1n_yd0WATdDej4EDjToxK7FRH4WXGLcLH/view?usp=drivesdk', 'https://drive.google.com/file/d/1p58NvnjMZG0dq9Ct1yt7m_pJGXTYRltw/view?usp=drivesdk', 'https://drive.google.com/file/d/1ssE5FabSVMdy1lTAWJLwDZsU-BSI7Gtf/view?usp=drivesdk', 'https://drive.google.com/file/d/1bEuEPr7OyDtWJeH633muk_YUEJx0nAr4/view?usp=drivesdk', 'https://drive.google.com/file/d/1tLA_Z2Kdbs1ytXqMD9znvajbxXCOXXkD/view?usp=drivesdk', 'https://drive.google.com/file/d/1zC36TFoboqzOy_wAIhKGbnIjNqwVBKz9/view?usp=drivesdk', 'https://drive.google.com/file/d/1ljkFkvDCC6XZP8WO4rwMuH2BiUdvD70t/view?usp=drivesdk', 'https://drive.google.com/file/d/1FLdus5kzO3pVH9YLyoBPvj9Sxc37Y5s2/view?usp=drivesdk', 'https://drive.google.com/file/d/15DM_plaUCOu7faxsU9YDLQFIItjfGIxz/view?usp=drivesdk', 'https://drive.google.com/file/d/1masP4YtduKtDoYjRI1_xlZp2wBiH5NH8/view?usp=drivesdk', 'https://drive.google.com/file/d/1fOrUewr0QffdWd5u41Nl6fY2sIWKtNyZ/view?usp=drivesdk', 'https://drive.google.com/file/d/1X3bYogH3amYiKeW6Yb7PsIjW29O9GkOZ/view?usp=drivesdk']",The Garden Dream and Politics,"Through the care of a garden, one can learn a lot - not only in biological terms.",30-05-2024,Achgut.com,['Annette Heinisch'],"['Garden', 'Politics', 'Biological Learning']","['News: Redaction on 30-05-2024', 'Ex-Steinmeier spokeswoman in ARD headquarters studio']",Neutral,Descriptive,"The article presents the concept of gardening as an educational tool, highlighting its broader implications on personal and societal understanding."
G14,"['https://drive.google.com/file/d/1iMXatrkUyf0nCDAmnkUtOXArye70wsNI/view?usp=drivesdk', 'https://drive.google.com/file/d/1upVePJ5cDIikpoENVEV1DhRgr4Ir1p1W/view?usp=drivesdk', 'https://drive.google.com/file/d/1lNjPAK4qLnEsdlSR-wCnqlkA9KIy-r3H/view?usp=drivesdk', 'https://drive.google.com/file/d/1_MEsFbeDq0b4oqvCGONEP0yHHjnKkKWo/view?usp=drivesdk', 'https://drive.google.com/file/d/1uSMuIVqUht6w289ugGdBWJZ-JcmFGy5j/view?usp=drivesdk', 'https://drive.google.com/file/d/1KnNjg-8j5wtU6cgl7HlM-BRSKT0aJ7N-/view?usp=drivesdk', 'https://drive.google.com/file/d/19mNcUzLgxLgesbNIvQxiNE-cH7VXJl3m/view?usp=drivesdk', 'https://drive.google.com/file/d/1TOoO2mNSfnhVdLJ-ZLPbS9xzSPF5elv_/view?usp=drivesdk', 'https://drive.google.com/file/d/1sluLiM_xpXpeTh9vgyrCM9NtKTfI-7Na/view?usp=drivesdk', 'https://drive.google.com/file/d/18ibVoJ0rC8xwl1LIUuroudpOaIYmi664/view?usp=drivesdk']",Maaßen wollte 2015 Merkel stoppen,"Der damalige Präsident des Bundesverfassungsschutzes (BfV), Hans-Georg Maaßen, wollte 2015 nach einer Grenzöffnung der Bundeskanzlerin Angela Merkel, diese mit einer Klage stoppen. Ihm fehlten allerdings die Unterstützer. Das bekannte er jetzt in einem Video-Interview. Dann kam alles anders.",30-05-2024,DIE FREIE WELT,['Redaktion (mkl)'],"['Maaßen', 'Merkel', 'Bundesverfassungsschutz', 'Deutschland']","['Deutscher Geheimdienst: ""Verdüsterstes Gesamtbild für die Ukraine""', 'Windkraft und ihre verheerenden Folgen für Mensch und Natur']",Negative,Cautionary,"The article discusses how Hans-Georg Maaßen felt the need to challenge Angela Merkel's decisions during the refugee crisis in 2015, reflecting a critical stance towards her policies."
G38,"['https://drive.google.com/file/d/1v5an9FTW3OnxckfobgwSkU_CBEAhpUj1/view?usp=drivesdk', 'https://drive.google.com/file/d/1BpTRNb8VI-ca2Vq6Qgts8-qprDNbsjZj/view?usp=drivesdk', 'https://drive.google.com/file/d/1zF9TGq3vXPwxmXsYfNJ8kuLV84hJFjz_/view?usp=drivesdk', 'https://drive.google.com/file/d/1UDLZzesjSqf4nsP4sF0STcFA99Xo457R/view?usp=drivesdk', 'https://drive.google.com/file/d/1xXNgFarIdDtUAEs9LJV48c1eGpvXRvnn/view?usp=drivesdk', 'https://drive.google.com/file/d/1US5QuHOg-hmZPsMde8X34MdwJZCYCUJL/view?usp=drivesdk', 'https://drive.google.com/file/d/1N18ROCzuPPAPAtWuz-6mlWvUrpHIMzJi/view?usp=drivesdk', 'https://drive.google.com/file/d/1Wag5pWuBGgnJT1WUdPHnfJCE2bJO0TFW/view?usp=drivesdk', 'https://drive.google.com/file/d/19oXOyvHOZ7WXn8-w6rCRsdGzN3hsVoCK/view?usp=drivesdk', 'https://drive.google.com/file/d/18BrxjU2tLs1ELKOlxdxun7YKajl0E1_p/view?usp=drivesdk', 'https://drive.google.com/file/d/1bG9ZXKB652sDb8HG9HnDOluQ5zJ-WTEK/view?usp=drivesdk', 'https://drive.google.com/file/d/196QzmZMnVNXIlQxUQEv402dUNMYliR4X/view?usp=drivesdk', 'https://drive.google.com/file/d/1s7OMXLsBMBYniMW0Yg-HdWhIcG5ewupj/view?usp=drivesdk', 'https://drive.google.com/file/d/1j7golPNpFigkiPbASNZXRBnBGZEmFYAn/view?usp=drivesdk', 'https://drive.google.com/file/d/1JJrVdEpooPuHIt_itdNI_P1dAX1C0Ylh/view?usp=drivesdk', 'https://drive.google.com/file/d/1ceK5WWaZ3IUX8Yfen7aiN7h5S0O2jiy3/view?usp=drivesdk', 'https://drive.google.com/file/d/1Zn246q17RZgmjiBYDhcKpgNZx-vzK88d/view?usp=drivesdk', 'https://drive.google.com/file/d/1Wtugfo6N3Kkd-C8lvZEtfNopCyRWFfml/view?usp=drivesdk']",Das deutsche Gasnetz - Was daraus werden soll und was für Sie bedeutet,Erdgas steht vor dem Aus und das Gasnetz vor dem Umbau: In welche Richtung es sich entwickeln kann und was das für die Gaskunden bedeutet.,30-05-2024,heise online,[],"['Erdgas', 'Gasnetz', 'Umbau', 'Gaskunden']",[],Neutral,Informative,The article discusses the future of the German gas network and the implications for customers as the energy landscape changes.
G37,"['https://drive.google.com/file/d/1aGwiOkkfxKlLhQXXLRnhZAClVXCdyokn/view?usp=drivesdk', 'https://drive.google.com/file/d/1MhyxaksuE8QMTRtD4Gn0qmijyO_VN2Ev/view?usp=drivesdk', 'https://drive.google.com/file/d/1jvc01yZGglq37J1e_d_ypLV2HGnh7hmE/view?usp=drivesdk', 'https://drive.google.com/file/d/1JHS7f-3Q3Jy_zNSuwGI6VoR5QW7LpFcB/view?usp=drivesdk', 'https://drive.google.com/file/d/18vzFZ1WJf26ntj6HjnxuEIzU7JfoI9e7/view?usp=drivesdk', 'https://drive.google.com/file/d/1lQBKQNFiijuz_h8IpoNJ5U36bxgiKN8K/view?usp=drivesdk', 'https://drive.google.com/file/d/1xyh9eplRTPOtd49WpKT3VsgZt4mC_8im/view?usp=drivesdk', 'https://drive.google.com/file/d/1c1mAPc-_iyK6hLfvPOnegbYx6pgCFCeY/view?usp=drivesdk', 'https://drive.google.com/file/d/1vkSZaVQX7vlnSl_KBebfv3tO9z-BP-ok/view?usp=drivesdk', 'https://drive.google.com/file/d/1xVkKnwJ_r4CVH_l8_o7p2Vih7Kkr5uxF/view?usp=drivesdk']","""Mitverantwortlich für Mordanschläge?"" Vilimsky-Eklat im ORF",FPÖ-Politiker attackiert ORF-Moderator: Vorwurf des unlauteren Verhaltens in TV-Debatte. Vilimsky spricht von einer instrumentalisierten Berichterstattung und äußert Bedenken über die Neutralität des ORF in der politischen Berichterstattung. Die Reaktionen auf seine Aussagen waren gemischt.,09-10-2023,oe24,[],"['FPÖ', 'ORF', 'Vilimsky', 'Politik', 'TV-Debatte']","['Schock: Heinz Hoenig (72) im künstlichen Koma', 'EU-Wahl: Meloni wird zur Königsmacherin im Machtpoker in Brüssel', 'Russland warnt Westen: ""Wird unweigerlich seine Folgen haben""']",Negative,Accusatory,"The article presents an anti-ORF stance, criticizing the perceived bias in the public broadcaster's political coverage, which reflects a broader frustration among certain political groups regarding media treatment."
G16,"['https://drive.google.com/file/d/11AdeRoWertoOjDwHFEnRTsIgzqVulWb_/view?usp=drivesdk', 'https://drive.google.com/file/d/1Tqb4ejOlulcgY0kCBgNXUvRG7S7GaeUw/view?usp=drivesdk', 'https://drive.google.com/file/d/130L0UgZrZK37N3mLvLxkVLjRd96_8WJC/view?usp=drivesdk', 'https://drive.google.com/file/d/1HaUfO_R97ODmnpIlXAcyVxc0UoAa6BMU/view?usp=drivesdk', 'https://drive.google.com/file/d/1Lip1PkIwkPiD1Ue9KLlQyKbZnObgjbkj/view?usp=drivesdk', 'https://drive.google.com/file/d/1E3meHNycyK4aeFZ7Q6X9jEc8w5h2mhnZ/view?usp=drivesdk', 'https://drive.google.com/file/d/1Oj2ssAzmHPZHTOhW3nf8cdkGACQdNMPJ/view?usp=drivesdk']","""Unwahrheiten verbreitet"": Bohrn-Mena schießt gegen Vizekanzler Kogler","Despite the scandal surrounding the ""green-hating"" Lena Schilling, her deputy Kogler continues to stand firm. The integrity of the ""red-affection Bohrn-Mena's"" is being challenged, as Schilling threatens violence against Kogler. The columnist warns that ""this is fatal, as the heads of the Greens are currently portraying"".",09-10-2023,eXXpress,['Unknown'],"['Politics', 'Kogler', 'Bohrn-Mena', 'Lena Schilling']","['Further Articles', 'Detailed News']",Negative,Confrontational,"The article conveys a critical view of Kogler, the Vice Chancellor, amidst internal party conflicts and a perceived threat from within, highlighting the tensions and challenges faced by political figures in Austria."
S25,"['https://drive.google.com/file/d/12f2LPS0yiRSUEKrGrjUW-TYNgQg_SEF8/view?usp=drivesdk', 'https://drive.google.com/file/d/1zFeMeVAuedhlcGb5UcKgduXJvJIK0xR5/view?usp=drivesdk', 'https://drive.google.com/file/d/1qgTRblzZF0LdngnKJIKRulehtngOfMRT/view?usp=drivesdk', 'https://drive.google.com/file/d/1kDlvEDcHRX65gOVxMntV53Wxt8ymfT9j/view?usp=drivesdk', 'https://drive.google.com/file/d/13XNYAhs4mRnvr-Gv3WN2BP4aHKsGpZ30/view?usp=drivesdk', 'https://drive.google.com/file/d/1S99BVfhLVkcSMvbC1RbMUs8NdWlgQigk/view?usp=drivesdk', 'https://drive.google.com/file/d/1IprOsUkaaxuEXvDU0-LzhpfG0nOf9XLL/view?usp=drivesdk']",Ayuso announces a resource against the amnesty law: 'It's a nefarious day for democracy',"Isabel Díaz Ayuso has announced a resource against the amnesty law and has stated that ""it is a nefarious day for democracy.""",30-05-2024,El Toro TV,[],"['amnesty', 'democracy', 'politics', 'Spain']",[],Negative,Critical,"The article conveys a critical stance towards the government's amnesty law, emphasizing the potential detrimental effects on democratic principles."
S21,"['https://drive.google.com/file/d/18sNqFdwW1kr9mlyUDujW09AbK27gmuCK/view?usp=drivesdk', 'https://drive.google.com/file/d/1YrMJmg8jxkpAFCbXn7rSbNoKOFkl4s8m/view?usp=drivesdk', 'https://drive.google.com/file/d/1eIinEhrmBx9QSS2Rykylvn9aIwW7o3Ue/view?usp=drivesdk', 'https://drive.google.com/file/d/1FQIM5jynwGmL8Gs8czKppliZ_1vBxnis/view?usp=drivesdk']","Until Arturo Gonzalo (Enagás) puts a responsibility to Ribera: ""If we want more Europe, we need more infrastructures, that is, more networks and more resources""","Arturo Gonzalo, the director of Enagás, stressed the need for increased infrastructure investment to support Europe’s goals. He emphasized how vital it is for the development and sustainability of the region to enhance networks and resources to meet future challenges.",30-05-2024,Hispanidad,['Not specified'],"['Europe', 'infrastructure', 'resources', 'sustainability']","['Investing in Sustainable Development', 'The Future of European Infrastructure']",Positive,Encouraging,"The article advocates for increased investment in infrastructure as essential for enhancing Europe’s effectiveness and sustainability, promoting a pro-EU stance."
S20,"['https://drive.google.com/file/d/1henayFn_zxwZMtwTzW1VPpycJwgTB3wH/view?usp=drivesdk', 'https://drive.google.com/file/d/1IhDl2U3cZeIM68d9VfGFcPz-swWxlRs3/view?usp=drivesdk', 'https://drive.google.com/file/d/1Vq-YurS8xdevy-L1XrB9UrUr8zfd7lSQ/view?usp=drivesdk', 'https://drive.google.com/file/d/1EGvbtrVrBh7nmbCazHOO_lFAxvj3jb11/view?usp=drivesdk']",THE WAR OF SATELLITES: A CHALLENGE FOR THE MULTIPOLAR WORLD,,30-05-2024,Info Hispania,['Matteo Castagna'],[],[],Neutral,Descriptive,The article appears to discuss the geopolitical implications of satellite technology amidst a transition to a multipolar world.
S12,"['https://drive.google.com/file/d/1fBe16HXb13fjhJ6D7cwlZ2J9HOXRcZrJ/view?usp=drivesdk', 'https://drive.google.com/file/d/171DljCdcxsDM3ns4bWdUGxxBX6vdYRU3/view?usp=drivesdk', 'https://drive.google.com/file/d/1aLd4nzjhdr8Fg_zPm75S_fkdoKw29Rjj/view?usp=drivesdk', 'https://drive.google.com/file/d/1NcWf0UcfhbSKrWNV9Hn7yoZLiK-Ckm7c/view?usp=drivesdk', 'https://drive.google.com/file/d/13O1RdtyfpOEPHzrIgTNVQ5rvroWIeI3K/view?usp=drivesdk', 'https://drive.google.com/file/d/1nIKthTsPhwiwbqB_JIKF-SmB9Z2WxPU8/view?usp=drivesdk']",The Congress approves the impunity of the ‘procés’ amid shouts of ‘traitors’ and threats to judges,The moment when part of the Government has been voted with the cry of ‘traitor’.,30-05-2024,El Debate,['Ana Martín'],"['procés', 'traitors', 'judges', 'Spain']","['Sánchez humiliates Spain and submits to separatism', 'The moment when part of the Government has voted with the cry of ‘traitor’']",Negative,Accusatory,"The article conveys a critical stance towards the Spanish government and its handling of the separatist movement, portraying a divisive political climate."
